#ID1	ID2	Microbe	20Dim
Colorectal_Cancer	Brain_Damage	0.0394055889053365	-0.142211154973555
Esophageal_Cancer	Brain_Damage	0.052906887800041	-0.165872334014449
Hepatobiliary_Cancer	Brain_Damage	0.213260136392602	0.0156251324164176
Non-Specific_Cardiovascular_Disease	Brain_Damage	-0.0852321414473559	0.146481652270352
Kaposis_Sarcoma	Brain_Damage	-0.0335636359732271	-0.198265528636264
Lung_Cancer	Brain_Damage	0.0214125337151219	0.00739576901246348
Lymphoid_Leukemia	Brain_Damage	-0.0194400943112735	0.00852165445737207
Melanoma	Brain_Damage	0.0593943405482212	0.0903026416843355
Non-Specified_Cardiac_Ischemia	Brain_Damage	-0.00384722191646434	-0.0232676542640917
Non-Hodgkins_Lymphoma	Brain_Damage	-0.0143330379410862	-0.273366250497578
Oro-Naso-Pharyngeal_Cancer	Brain_Damage	0.00139963899874881	-0.0154649118774644
Other_Lymphoid_Histiocytic_Cancers	Brain_Damage	-0.00951590277051507	-0.480746957617033
Pancreatic_Cancer	Brain_Damage	0.00210440131455714	0.0654320931399525
Stomach_Cancer	Brain_Damage	0.09933965066843	-0.161998662529301
Thyroid_Cancer	Brain_Damage	0.116312865734443	-0.0710756607330573
ADHD	Brain_Damage	-0.0464127683372099	0.119746749017868
Adjustment_Disorder	Brain_Damage	-0.0115852828169813	0.208197083795951
Alzheimers_Disease	Brain_Damage	0.0662921399562812	0.0853377055739713
Autism	Brain_Damage	0.135230985746591	0.103197688398574
Bipolar_Disorder	Brain_Damage	0.0533959182611326	-0.0332188631972587
Depression	Brain_Damage	0.0171004149991997	0.0985700598991559
Eating_Disorder	Brain_Damage	-0.0122976848664631	0.0363988228595908
Pulmonary_Heart_Disease	Brain_Damage	-0.0712277586559853	0.0384938868279635
Migraine	Brain_Damage	0.0461439027345672	0.528602173315792
PTSD	Brain_Damage	-0.0394665166638984	0.276933417589071
Schizophrenia_Related_Psychosis	Brain_Damage	0.0868457494431122	0.356935239235118
Sleep_Disorder	Brain_Damage	-0.132574821653112	0.134459540940852
Substance_Abuse	Brain_Damage	-0.00878762475858303	0.0720838990240952
Unspecified_Childhood_Psychoses	Brain_Damage	0.0601990893932889	0.0667558193586378
Neonatal_Disease	Brain_Damage	0.129811233070764	0.178270911612486
Corneal_Disorders	Brain_Damage	0.0377939182327553	-0.0128824585834294
Glaucoma	Brain_Damage	0.116042997972113	-0.107956175850766
Macular_Degeneration	Brain_Damage	-0.000848778338729182	-0.105947053354653
Gestational_Pregnancy_Related_Disorder	Brain_Damage	0.11585814436111	0.0277344671460288
Menopausal_Disorder	Brain_Damage	-0.0516938080423113	-0.182750477133816
